Hotel name,Prices,Rating counts,Total Rating,Address,Distance from center,Hotel-link,City
Rustic Wood House Village Homestay,2122,4.4,13, 8 km from Gushaini,8 km ,https://www.makemytrip.com/hotels/rustic_wood_house_village_homestay-details-banjar.html,Bini 
LivingStone | Rooms at River View Cottages,4544,4.3,11, 7.1 km from Gushaini,0km,https://www.makemytrip.com/hotels/livingstone_rooms_at_river_view_cottages-details-banjar.html,Bini 
Mozo Inn and Cafe Jibhi,862,4.0,13, 7.8 km from Gushaini,0km,https://www.makemytrip.com/hotels/mozo_inn_and_cafe_jibhi-details-banjar.html,Bini 
Cloud Walker Inn | Rooms & Restaurant,2045,3.8,14, 8.4 km from Gushaini,8.4 km ,https://www.makemytrip.com/hotels/cloud_walker_inn_rooms_restaurant-details-banjar.html,Bini 
Tirthan River View Cottage | Rooms & Restaurant,1818,4.9,10, 9.3 km from Gushaini,0km,https://www.makemytrip.com/hotels/tirthan_river_view_cottage_rooms_restaurant-details-banjar.html,Banjar 
Tirthan Cottage By Upvan,2875,3.7,6, 8.1 km from Gushaini,0km,https://www.makemytrip.com/hotels/tirthan_cottage_by_upvan-details-banjar.html,Tirthan Valley 
HOTEL THE BLACK MOREL,1437,,6, 8 km from Gushaini,8 km ,https://www.makemytrip.com/hotels/hotel_the_black_morel-details-banjar.html,Tirthan Valley 
NIRMAL VILLA,1620,,4, 7.6 km from Gushaini,7.6 km ,https://www.makemytrip.com/hotels/nirmal_villa-details-banjar.html,Tirthan Valley 
The Lost Cafe & Stays,2899,4.0,3, 5.7 km from Gushaini,5.7 km ,https://www.makemytrip.com/hotels/the_lost_cafe_stays-details-banjar.html,Tirthan Valley 
Palach Kothi,4910,0,0, 7.6 km from Gushaini,0km,https://www.makemytrip.com/hotels/palach_kothi-details-banjar.html,Banjar 
StayApart -All View Cottage & River Camps,2933,0,0, 8.6 km from Gushaini,8.6 km ,https://www.makemytrip.com/hotels/stayapart_all_view_cottage_river_camps-details-banjar.html,Tirthan Valley 
Banjara Cottage And Retreat Sojha,5311,0,0, 8.1 km from Gushaini,8.1 km ,https://www.makemytrip.com/hotels/banjara_cottage_and_retreat_sojha-details-banjar.html,Tirthan Valley 
Rishab Homestay Tirthan,4107,0,0, 5.1 km from Gushaini,5.1 km ,https://www.makemytrip.com/hotels/rishab_homestay_tirthan-details-banjar.html,Tirthan Valley 
Purab Home Stay,1784,0,0, 7.6 km from Gushaini,0km,https://www.makemytrip.com/hotels/purab_home_stay-details-banjar.html,Tirthan Valley 
VIEW POINT,1732,0,0, 7.8 km from Gushaini,7.8 km ,https://www.makemytrip.com/hotels/view_point-details-banjar.html,Bini 
SECLUDE CABIN JIBHI,1455,0,0, 8.3 km from Gushaini,8.3 km ,https://www.makemytrip.com/hotels/seclude_cabin_jibhi-details-banjar.html,Bini 
Chandan Thakur HomeStay tirthan valley,2547,0,0, 8.1 km from Gushaini,8.1 km ,https://www.makemytrip.com/hotels/chandan_thakur_homestay_tirthan_valley-details-banjar.html,Tirthan Valley 
Tirthan Brij Edge cottages,2547,0,0, 8.2 km from Gushaini,8.2 km ,https://www.makemytrip.com/hotels/tirthan_brij_edge_cottages-details-banjar.html,Banjar 
Hideway Holt Tiny Cabin,3820,0,0, 6.5 km from Gushaini,6.5 km ,https://www.makemytrip.com/hotels/hideway_holt_tiny_cabin-details-banjar.html,Tirthan Valley 
Livingstone Mud Houses Tirthan Valley,1454,0,0, 8.1 km from Gushaini,8.1 km ,https://www.makemytrip.com/hotels/livingstone_mud_houses_tirthan_valley-details-banjar.html,Tirthan Valley 
The Seraj,1521,,0, 8.5 km from Gushaini,8.5 km ,https://www.makemytrip.com/hotels/the_seraj-details-banjar.html,Tirthan Valley 
HOTEL ROYAL GALAXY,2302,,0, 7.8 km from Gushaini,7.8 km ,https://www.makemytrip.com/hotels/hotel_royal_galaxy-details-banjar.html,Tirthan Valley 
Nogo Guest House,851,0,0, 8.1 km from Gushaini,8.1 km ,https://www.makemytrip.com/hotels/nogo_guest_house-details-banjar.html,Tirthan Valley 
Hotel Meena Paying Guest House,2076,0,0, 8 km from Gushaini,8 km ,https://www.makemytrip.com/hotels/hotel_meena_paying_guest_house-details-banjar.html,Tirthan Valley 
OYO Home Tirthan Crest Hostel & Homestay in Jibbi,662,0,0, 8.3 km from Gushaini,8.3 km ,https://www.makemytrip.com/hotels/oyo_home_tirthan_crest_hostel_homestay_in_jibbi-details-banjar.html,Tirthan Valley 
OYO Home 810621 Tirthan Heaven,725,0,0, 9.2 km from Gushaini,9.2 km ,https://www.makemytrip.com/hotels/oyo_home_tirthan_heaven-details-banjar.html,Tirthan Valley 
Zostel Homes Laida (Jibhi),2507,4.7,33, 10.5 km from Gushaini,0km,https://www.makemytrip.com/hotels/zostel_homes_laida_jibhi_-details-banjar.html,Chanon 
Ishan Log Hut,6152,4.4,23, 10.4 km from Gushaini,0km,https://www.makemytrip.com/hotels/ishan_log_hut-details-banjar.html,Bahu 
LivingStone| Backwater Resort,3545,4.6,6, 15.2 km from Gushaini,0km,https://www.makemytrip.com/hotels/livingstone_backwater_resort-details-banjar.html,Tirthan Valley 
Tirthan Ronak Camping River Touch View,2587,4.5,5, 17.7 km from Gushaini,17.7 km ,https://www.makemytrip.com/hotels/tirthan_ronak_camping_river_touch_view-details-banjar.html,Banjar 
Off the trail Cabin & Cafe,1975,3.7,3, 10.4 km from Gushaini,10.4 km ,https://www.makemytrip.com/hotels/off_the_trail_cabin_cafe-details-banjar.html,Bahu 
OmShiva Homestay,546,0,0, 14.1 km from Gushaini,14.1 km ,https://www.makemytrip.com/hotels/omshiva_homestay-details-banjar.html,Banjar 
Rudra Homestay,437,0,0, 14.1 km from Gushaini,14.1 km ,https://www.makemytrip.com/hotels/rudra_homestay-details-banjar.html,Banjar 
"The Mountain View Cottage, Jibhi",2637,0,0, 10.5 km from Gushaini,10.5 km ,https://www.makemytrip.com/hotels/the_mountain_view_cottage_jibhi-details-banjar.html,Bahu 
The Baaga Village,1571,0,0, 12.4 km from Gushaini,12.4 km ,https://www.makemytrip.com/hotels/the_baaga_village-details-banjar.html,Ratwah 
Hipostel Laida,1375,0,0, 10.4 km from Gushaini,10.4 km ,https://www.makemytrip.com/hotels/hipostel_laida-details-banjar.html,Chanon 
LivingStone Tirthan Stone Cottage,5288,0,0, 15.2 km from Gushaini,0km,https://www.makemytrip.com/hotels/livingstone_tirthan_stone_cottage-details-banjar.html,Tirthan Valley 
TIRTHAN VALLEY HOLIDAY HOME,2984,0,0, 14.9 km from Gushaini,14.9 km ,https://www.makemytrip.com/hotels/tirthan_valley_holiday_home-details-banjar.html,Banjar 
