Hotel name,Prices,Rating counts,Total Rating,Address,Distance from center,Hotel-link
Above the river behind the forrest,1126,0.0,0.0,Jibhi,1.1 km ,https://www.booking.com/hotel/in/above-the-river-behind-the-forrest.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=1113641901_384289249_1_1_0&highlighted_blocks=1113641901_384289249_1_1_0&matching_block_id=1113641901_384289249_1_1_0&sr_pri_blocks=1113641901_384289249_1_1_0__112590&dcs_click=1&from=searchresults#hotelTmpl
Venky's Place,1600,9.0,29.0,Jibhi,3.2 km ,https://www.booking.com/hotel/in/venkys-place.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=897752204_360435216_1_42_0&highlighted_blocks=897752204_360435216_1_42_0&matching_block_id=897752204_360435216_1_42_0&sr_pri_blocks=897752204_360435216_1_42_0__160000&dcs_click=1&from=searchresults#hotelTmpl
WildWoodHome Jibhi,2200,8.7,13.0,Jibhi,350 m ,https://www.booking.com/hotel/in/wildwood-home.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=724291905_310125352_2_2_0&highlighted_blocks=724291905_310125352_2_2_0&matching_block_id=724291905_310125352_2_2_0&sr_pri_blocks=724291905_310125352_2_2_0__220000&dcs_click=1&from=searchresults#hotelTmpl
PineRoots Homestay & Cafe,1320,0.0,0.0,Jibhi,0.8 km ,https://www.booking.com/hotel/in/pineroots-homestay-amp-cafe.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=1158639601_388600004_1_2_0&highlighted_blocks=1158639601_388600004_1_2_0&matching_block_id=1158639601_388600004_1_2_0&sr_pri_blocks=1158639601_388600004_1_2_0__132000&dcs_click=1&from=searchresults#hotelTmpl
Hilltop home stay and Cafe,2000,0.0,0.0,Jibhi,In the city center,https://www.booking.com/hotel/in/hilltop-home-stay-and-cafe.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=1154029401_388182038_2_2_0&highlighted_blocks=1154029401_388182038_2_2_0&matching_block_id=1154029401_388182038_2_2_0&sr_pri_blocks=1154029401_388182038_2_2_0__200000&dcs_click=1&from=searchresults#hotelTmpl
"Crystal Mountain Jibhi, Kullu ,HP",1800,0.0,0.0,Jibhi,300 m ,https://www.booking.com/hotel/in/crystal-mountain-jibhi-kullu-hp.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1161679301_389638166_2_2_0&highlighted_blocks=1161679301_389638166_2_2_0&matching_block_id=1161679301_389638166_2_2_0&sr_pri_blocks=1161679301_389638166_2_2_0__180000&dcs_click=1&from=searchresults#hotelTmpl
2 little monks Cafe and stays,2061,10.0,1.0,Jibhi,0.5 km ,https://www.booking.com/hotel/in/2-little-monks-cafe-and-stays.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1118779601_384705564_1_2_0&highlighted_blocks=1118779601_384705564_1_2_0&matching_block_id=1118779601_384705564_1_2_0&sr_pri_blocks=1118779601_384705564_1_2_0__206100&dcs_click=1&from=searchresults#hotelTmpl
Peppy Nomads Apartment,3150,7.0,25.0,Jibhi,0.5 km ,https://www.booking.com/hotel/in/peppy-nomads.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=530601206_374430337_1_0_0&highlighted_blocks=530601206_374430337_1_0_0&matching_block_id=530601206_374430337_1_0_0&sr_pri_blocks=530601206_374430337_1_0_0__315000&dcs_click=1&from=searchresults#hotelTmpl
Jibhi Mountain Retreat,1778,9.4,5.0,Jibhi,1 km ,https://www.booking.com/hotel/in/jibhi-mountain-retreat-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=970643301_369467048_1_1_0&highlighted_blocks=970643301_369467048_1_1_0&matching_block_id=970643301_369467048_1_1_0&sr_pri_blocks=970643301_369467048_1_1_0__177760&dcs_click=1&from=searchresults#hotelTmpl
The Village View Homestay,2239,9.8,6.0,Jibhi,4.2 km ,https://www.booking.com/hotel/in/the-village-view-home-stau.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=914345101_390400776_1_1_0&highlighted_blocks=914345101_390400776_1_1_0&matching_block_id=914345101_390400776_1_1_0&sr_pri_blocks=914345101_390400776_1_1_0__223920&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
